City,RMSE,MAE,DataPoints
Aizawl,1.5728574623960447,0.48880597014925375,2680
Shillong,11.097398515716328,6.583762802437086,7402
Coimbatore,12.994831851164445,10.891106433443236,9229
Amaravati,16.83915771699115,13.427707777417956,22784
Kochi,18.207293981099447,14.367002397832705,3854
Bengaluru,20.60860972107615,16.11497916338008,48192
Chandigarh,22.992250172679935,18.92621688287499,7263
Bhopal,28.361356878143145,25.047207749041554,6903
Jaipur,29.120994758109887,21.57078767403969,26705
Hyderabad,31.117025132330248,23.98962933555665,48107
Thiruvananthapuram,35.36282814733007,33.12303846092949,26651
Ernakulam,39.08251513033655,28.636546957374826,3852
Kolkata,43.500339807604405,41.4053886419289,19503
Chennai,45.32596150213575,36.90002854334776,48192
Guwahati,46.27862388696693,43.88996869581942,12002
Amritsar,47.29379664023938,22.43041061448496,29269
Brajrajnagar,48.51002163526205,41.08626999572494,22468
Visakhapatnam,53.16917413064292,47.303249387188565,35053
Talcher,55.40141398697271,49.31316226663719,22161
Gurugram,60.647045591236974,50.91025714859009,40258
Jorapokhar,89.63823808508488,74.87645756956283,28025
Mumbai,127.74636344063967,115.74199113987092,48192
Patna,145.08769582984343,131.84366944954837,44554
Lucknow,182.86685107800622,163.18343187943475,48192
Delhi,198.29407032341905,177.8524398483106,48192
Ahmedabad,212.43100637024259,196.7907543354931,48192
