Pollutant,Model,RMSE,MAE,DataPoints
PM2.5,ARIMA,25.5794,19.3313,48192
PM2.5,Prophet,220.1473,180.381,48192
PM2.5,XGBoost,3.7173,2.5416,48192
NO,ARIMA,8.2185,5.5974,48192
NO,Prophet,16.8731,14.5064,48192
NO,XGBoost,2.183,1.525,48192
NO2,ARIMA,8.4556,6.8243,48192
NO2,Prophet,80.7284,68.6028,48192
NO2,XGBoost,1.5617,1.1595,48192
NOx,ARIMA,12.4178,8.8106,48192
NOx,Prophet,111.974,95.1352,48192
NOx,XGBoost,2.4886,1.7911,48192
NH3,ARIMA,4.598,3.5954,48192
NH3,Prophet,46.9891,40.5831,48192
NH3,XGBoost,1.4015,1.0376,48192
CO,ARIMA,0.7367,0.65,48192
CO,Prophet,8.0709,7.0657,48192
CO,XGBoost,0.2014,0.1355,48192
SO2,ARIMA,5.9771,5.2719,48192
SO2,Prophet,70.9136,61.5942,48192
SO2,XGBoost,1.4643,1.0907,48192
O3,ARIMA,12.914,11.4469,48192
O3,Prophet,267.7847,232.6759,48192
O3,XGBoost,1.7906,1.3694,48192
Benzene,ARIMA,1.1436,0.8684,48192
Benzene,Prophet,1.938,1.6559,48192
Benzene,XGBoost,0.3965,0.2656,48192
Toluene,ARIMA,2.8153,2.2972,48192
Toluene,Prophet,30.138,25.962,48192
Toluene,XGBoost,0.6808,0.4608,48192
