City,RMSE,MAE,DataPoints,Model
Aizawl,1.5728574623960447,0.4888059701492537,2680.0,ARIMA
Shillong,11.097398515716328,6.583762802437086,7402.0,ARIMA
Coimbatore,12.994831851164443,10.891106433443236,9229.0,ARIMA
Amaravati,16.83915771699115,13.427707777417956,22784.0,ARIMA
Kochi,18.207293981099447,14.367002397832705,3854.0,ARIMA
Bengaluru,20.39569226997276,16.44002602702863,48192.0,Prophet
Bengaluru,20.60860972107615,16.11497916338008,48192.0,ARIMA
Chandigarh,22.99225017267993,18.92621688287499,7263.0,ARIMA
Coimbatore,26.95810047596888,21.90551998623132,9229.0,Prophet
Bhopal,28.361356878143145,25.047207749041554,6903.0,ARIMA
Jaipur,29.120994758109887,21.57078767403969,26705.0,ARIMA
Hyderabad,31.117025132330248,23.98962933555665,48107.0,ARIMA
All Cities Combined,33.331,22.265,,XGBoost
Chennai,34.167039242991606,26.55997174805884,48192.0,Prophet
Guwahati,34.70104419517991,30.270708899435697,12002.0,Prophet
Thiruvananthapuram,35.36282814733007,33.12303846092949,26651.0,ARIMA
Hyderabad,36.06778899491111,30.56184842254914,48107.0,Prophet
Ernakulam,39.08251513033655,28.636546957374826,3852.0,ARIMA
Mumbai,40.71211773084535,35.63585246592786,48192.0,Prophet
Kolkata,43.500339807604405,41.4053886419289,19503.0,ARIMA
Chennai,45.32596150213575,36.90002854334776,48192.0,ARIMA
Guwahati,46.27862388696693,43.88996869581942,12002.0,ARIMA
Amritsar,47.29379664023938,22.43041061448496,29269.0,ARIMA
Brajrajnagar,48.51002163526205,41.08626999572494,22468.0,ARIMA
Jorapokhar,50.18561985187102,41.155843667948446,28025.0,Prophet
Amaravati,51.393135418075175,45.06265351581824,22784.0,Prophet
Jaipur,52.26139042466685,47.13285646582437,26705.0,Prophet
Visakhapatnam,53.16917413064292,47.303249387188565,35053.0,ARIMA
Aizawl,53.21358627278351,40.402995419177216,2680.0,Prophet
Talcher,55.40141398697271,49.31316226663719,22161.0,ARIMA
Thiruvananthapuram,57.55764350332129,54.08770987719776,26651.0,Prophet
Gurugram,60.647045591236974,50.91025714859009,40258.0,ARIMA
Patna,61.80020293493358,42.621943714706994,44554.0,Prophet
Visakhapatnam,66.49470371702552,59.19139675633972,35053.0,Prophet
Lucknow,69.51323020766804,56.85505524593608,48192.0,Prophet
Gurugram,70.4996588957637,60.977369766649936,40258.0,Prophet
Delhi,73.05261007319704,61.78817410227012,48192.0,Prophet
Amritsar,80.83603892414327,69.56234393002202,29269.0,Prophet
Kolkata,82.69941851948506,78.35704900285442,19503.0,Prophet
Jorapokhar,89.63823808508488,74.87645756956283,28025.0,ARIMA
Chandigarh,124.5438800347136,112.11412643173747,7263.0,Prophet
Mumbai,127.74636344063968,115.74199113987092,48192.0,ARIMA
Patna,145.08769582984343,131.84366944954837,44554.0,ARIMA
Talcher,154.9767805703062,151.5243024533145,22161.0,Prophet
Ernakulam,175.97565150484203,149.06736104312571,3852.0,Prophet
Lucknow,182.86685107800625,163.18343187943475,48192.0,ARIMA
Ahmedabad,188.187127274143,170.90782124224734,48192.0,Prophet
Brajrajnagar,189.47180339693853,176.4413773178512,22468.0,Prophet
Delhi,198.29407032341905,177.8524398483106,48192.0,ARIMA
Ahmedabad,212.43100637024256,196.7907543354931,48192.0,ARIMA
Kochi,322.3367611459503,272.4968039420427,3854.0,Prophet
Shillong,436.0975347012656,317.2720421562984,7402.0,Prophet
Bhopal,3147.218996536961,2427.377219925504,6903.0,Prophet
